######################################################################################################
# chan      Xsec[pb]        kFact       filtereff   HistSvc_name    physically_descriptive_name
######################################################################################################

# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
161805   1.380000           0.577          0.324000       WlvH125                  Pythia8_AU2CTEQ6L1_WH125_lnubb                                     
161849   0.869600           0.577          0.200000       ZvvH125                  Pythia8_AU2CTEQ6L1_ZH125_nunubb                                    
161827   0.869600           0.577          0.100974       Zll125                   Pythia8_AU2CTEQ6L1_ZH125_llbb                                      

# MC15 samples added by Andrew Mehta. First is only qq->ZH cross section, 2nd 3rd 4th are only gg->ZH cross section (including kNLO=2)
# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
341102   0.763900           0.577          0.100974       qqZllH125             Pythia8EG_A14NNPDF23LO_ZllH125_bb                                  
341094   0.1057             0.577          0.033658       ggZeeH125             PwPy8EG_CT10_AZNLO_ggZH125_eebb                                    
341095   0.1057             0.577          0.033658       ggZmmH125             PwPy8EG_CT10_AZNLO_ggZH125_mumubb                                  
341096   0.1057             0.577          0.033658       ggZttH125             PwPy8EG_CT10_AZNLO_ggZH125_tautaubb                                

#MC15 sample afor ZHvvbb. First is only qq->ZH cross section, 2nd 3rd 4th are only gg->ZH cross section (including kNLO=2)
# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
341101   0.763900           0.577          0.200000       qqZvvH125             Pythia8_AU2CTEQ6L1_ZH125_nunubb                                    
341097   0.1057             0.577          0.066667       ggZveveH125           PwPy8EG_CT10_AZNLO_ggZH125_vevebb                                  
341098   0.1057             0.577          0.066667       ggZvmvmH125           PwPy8EG_CT10_AZNLO_ggZH125_vmuvmubb                                
341099   0.1057             0.577          0.066667       ggZvtvtH125           PwPy8EG_CT10_AZNLO_ggZH125_vtauvtaubb                              

#MC15 sample afor WH	
# XS from LHCHXSWG  https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt1314TeV#s_13_0_TeV
341100   1.380000           0.577          0.324000       qqWlvH125             Py8EG_A14NNPDF23LO_WlvH125_bb                                      
341178   1.380000           0.577          0.108000       qqWminuseveHNLO125       PwPy8EG_CT10_AZNLO_WmH125J_MINLO_evebb                             
341179   1.380000           0.577          0.108000       qqWminusmuvmuHNLO125     PwPy8EG_CT10_AZNLO_WmH125J_MINLO_muvmubb                           
341181   1.380000           0.577          0.108000       qqWpluseveHNLO125        PwPy8EG_CT10_AZNLO_WpH125J_MINLO_evebb                             
341182   1.380000           0.577          0.108000       qqWplusmuvmuHNLO125      PwPy8EG_CT10_AZNLO_WpH125J_MINLO_muvmubb                           

341914    0.0026122        1.0     0.27856      ZH400NWZZvvqq     Pythia8EvtGen_A14NNPDF23LO_ZH400NW_ZZvvqq              #Sam Meehan (10/20) - taken from AMI
341915    0.0047142        1.0     0.28062      WH400NWZZvvqq     Pythia8EvtGen_A14NNPDF23LO_WH400NW_ZZvvqq             #Sam Meehan (10/20) - taken from AMI

# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/CxAODDC14#Samples_and_Status -> approx AMI numbers
167740   18795.00           1.0            0.017789       W                        Sherpa_CT10_WenuMassiveCBPt0_BFilter                               
167741   18804.00           1.0            0.062919       W                        Sherpa_CT10_WenuMassiveCBPt0_CJetFilterBVeto                       
167742   18443.00           1.0            0.919300       W                        Sherpa_CT10_WenuMassiveCBPt0_CJetVetoBVeto                         
180534   1315.700           1.0            0.041355       W                        Sherpa_CT10_WenuMassiveCBPt40_70_BFilter                           
