Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
267073, 321, 0, 0.088885, 0.086053, 0.086043, 0.086043, 96.81, 99.99, 100.00
267167, 247, 0, 0.264969, 0.225160, 0.225130, 0.225130, 84.98, 99.99, 100.00
267358, 108, 0, 0.000083, 0.000082, 0.000082, 0.000082, 98.59, 100.00, 100.00
267359, 128, 0, 0.000245, 0.000244, 0.000244, 0.000244, 99.61, 100.00, 100.00
267360, 110, 0, 0.000339, 0.000325, 0.000325, 0.000325, 95.76, 100.00, 100.00
267367, 162, 0, 0.001619, 0.001548, 0.001548, 0.001548, 95.65, 100.00, 100.00
267385, 669, 0, 0.006094, 0.006005, 0.006005, 0.006005, 98.54, 100.00, 100.00
267599, 828, 0, 0.005774, 0.005677, 0.005677, 0.005677, 98.33, 100.00, 100.00
267638, 637, 0, 3.519667, 3.375226, 3.373091, 3.373091, 95.90, 99.94, 100.00
267639, 514, 0, 3.129986, 2.984129, 2.982772, 2.982772, 95.34, 99.95, 100.00
270806, 48, 0, 0.851538, 0.775852, 0.775558, 0.775558, 91.11, 99.96, 100.00
270953, 333, 0, 4.760169, 4.588490, 4.586361, 4.586361, 96.39, 99.95, 100.00
271048, 489, 0, 7.045248, 6.740208, 6.734014, 6.734014, 95.67, 99.91, 100.00
271298, 354, 0, 10.339431, 9.971597, 9.970457, 9.970457, 96.44, 99.99, 100.00
271421, 322, 0, 14.536964, 13.612569, 13.610327, 13.610327, 93.64, 99.98, 100.00
271516, 315, 0, 20.250550, 19.729770, 19.723440, 19.723440, 97.43, 99.97, 100.00
271595, 227, 0, 17.429000, 16.600170, 16.593770, 16.593770, 95.24, 99.96, 100.00
271744, 142, 0, 6.634260, 6.300340, 6.292820, 6.292820, 94.97, 99.88, 100.00
276262, 295, 0, 6.988194, 6.496449, 6.496017, 6.496017, 92.96, 99.99, 100.00
276329, 403, 0, 12.964350, 12.376075, 12.375005, 12.375005, 95.46, 99.99, 100.00
276336, 31, 0, 0.747279, 0.689088, 0.689043, 0.689043, 92.21, 99.99, 100.00
276416, 109, 0, 4.575010, 4.391740, 4.385560, 4.385560, 95.99, 99.86, 100.00
276511, 290, 0, 9.670544, 9.361147, 9.354875, 9.354875, 96.80, 99.93, 100.00
276689, 265, 0, 11.613938, 11.293497, 11.281437, 11.281437, 97.24, 99.89, 100.00
276731, 612, 0, 26.541280, 25.762820, 25.748430, 25.748430, 97.07, 99.94, 100.00
276778, 17, 0, 0.775534, 0.701239, 0.701200, 0.701200, 90.42, 99.99, 100.00
276790, 35, 0, 1.837300, 1.657150, 1.656710, 1.656710, 90.19, 99.97, 100.00
276952, 140, 0, 7.508650, 6.900880, 6.900030, 6.900030, 91.91, 99.99, 100.00
276954, 17, 0, 0.891490, 0.770892, 0.770813, 0.770813, 86.47, 99.99, 100.00
Total, 8168, 0, 172.979000, 165.404000, 165.327000, 165.327000, 95.62, 99.95, 100.00
