Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
276262, 295, 0, 6.988194, 6.496449, 6.496017, 6.496017, 92.96, 99.99, 100.00
276329, 403, 0, 12.964350, 12.376075, 12.375005, 12.375005, 95.46, 99.99, 100.00
276336, 31, 0, 0.747279, 0.689088, 0.689043, 0.689043, 92.21, 99.99, 100.00
276416, 109, 0, 4.575010, 4.391740, 4.385560, 4.385560, 95.99, 99.86, 100.00
276511, 290, 0, 9.670544, 9.361147, 9.354875, 9.354875, 96.80, 99.93, 100.00
276689, 265, 0, 11.613938, 11.293497, 11.281437, 11.281437, 97.24, 99.89, 100.00
276778, 17, 0, 0.775534, 0.701239, 0.701200, 0.701200, 90.42, 99.99, 100.00
276790, 35, 0, 1.837300, 1.657150, 1.656710, 1.656710, 90.19, 99.97, 100.00
276952, 140, 0, 7.508650, 6.900880, 6.900030, 6.900030, 91.91, 99.99, 100.00
276954, 17, 0, 0.891490, 0.770892, 0.770813, 0.770813, 86.47, 99.99, 100.00
278880, 462, 0, 24.917210, 22.680140, 22.677960, 22.677960, 91.02, 99.99, 100.00
278912, 410, 0, 21.338396, 20.743426, 20.741551, 20.741551, 97.21, 99.99, 100.00
278968, 123, 0, 10.864828, 10.345021, 10.342965, 10.342965, 95.22, 99.98, 100.00
279169, 745, 0, 59.711816, 57.781627, 57.773407, 57.773407, 96.77, 99.99, 100.00
279259, 102, 0, 8.169560, 7.617480, 7.615940, 7.615940, 93.24, 99.98, 100.00
279279, 227, 0, 18.463022, 17.802283, 17.793527, 17.793527, 96.42, 99.95, 100.00
279284, 456, 0, 34.479500, 33.333800, 33.326600, 33.326600, 96.68, 99.98, 100.00
279345, 628, 0, 56.894166, 54.933105, 54.919944, 54.919944, 96.55, 99.98, 100.00
279515, 5, 0, 0.435217, 0.362504, 0.362112, 0.362112, 83.29, 99.89, 100.00
279598, 692, 0, 73.599559, 71.429909, 71.405581, 71.405581, 97.05, 99.97, 100.00
279685, 780, 0, 80.244674, 78.278212, 78.247129, 78.247129, 97.55, 99.96, 100.00
279764, 69, 0, 7.893650, 7.041040, 7.038660, 7.038660, 89.20, 99.97, 100.00
279813, 507, 0, 51.952300, 50.390870, 50.383200, 50.383200, 96.99, 99.98, 100.00
279867, 252, 0, 32.425850, 31.263300, 31.258250, 31.258250, 96.41, 99.98, 100.00
279928, 8, 0, 1.106520, 1.063000, 1.063000, 1.063000, 96.07, 100.00, 100.00
279932, 405, 0, 48.220500, 46.915090, 46.911010, 46.911010, 97.29, 99.99, 100.00
279984, 546, 0, 71.287487, 68.751518, 68.746628, 68.746628, 96.44, 99.99, 100.00
280231, 780, 0, 96.539918, 93.262066, 93.249766, 93.249766, 96.60, 99.99, 100.00
280319, 696, 0, 103.334270, 98.829440, 98.826170, 98.826170, 95.64, 100.00, 100.00
280368, 60, 0, 9.287498, 8.740173, 8.739077, 8.739077, 94.11, 99.99, 100.00
280423, 502, 0, 76.300960, 72.331900, 72.328580, 72.328580, 94.80, 100.00, 100.00
280464, 409, 0, 65.217651, 61.511721, 61.505421, 61.505421, 94.32, 99.99, 100.00
280500, 76, 0, 8.354460, 7.728200, 7.727900, 7.727900, 92.50, 100.00, 100.00
280520, 123, 0, 13.540121, 12.883965, 12.880305, 12.880305, 95.15, 99.97, 100.00
280614, 168, 0, 26.930880, 25.793800, 25.773520, 25.773520, 95.78, 99.92, 100.00
280673, 1052, 0, 163.362700, 156.840450, 156.804410, 156.804410, 96.01, 99.98, 100.00
280753, 307, 0, 50.443562, 47.338276, 47.325866, 47.325866, 93.84, 99.97, 100.00
280853, 59, 0, 8.457765, 7.430028, 7.427828, 7.427828, 87.85, 99.97, 100.00
280862, 940, 0, 144.334860, 137.847853, 137.813463, 137.813463, 95.51, 99.98, 100.00
280950, 905, 0, 135.720696, 131.329110, 131.311727, 131.311727, 96.76, 99.99, 100.00
280977, 202, 0, 38.118443, 36.436825, 36.415164, 36.415164, 95.59, 99.94, 100.00
281070, 68, 0, 13.807900, 12.890790, 12.886350, 12.886350, 93.36, 99.97, 100.00
281074, 269, 0, 50.131781, 48.018666, 47.972102, 47.972102, 95.78, 99.90, 100.00
281075, 5, 0, 1.093962, 0.885217, 0.884820, 0.884820, 80.92, 99.96, 100.00
281317, 127, 0, 26.257314, 25.073421, 25.068111, 25.068111, 95.49, 99.98, 100.00
281385, 389, 0, 69.458250, 66.447870, 66.443940, 66.443940, 95.67, 99.99, 100.00
281411, 735, 0, 151.073307, 141.749554, 141.728640, 141.728640, 93.83, 99.99, 100.00
282625, 136, 0, 11.347259, 10.888541, 10.887967, 10.887967, 95.96, 99.99, 100.00
282631, 163, 0, 29.378170, 27.421040, 27.413110, 27.413110, 93.34, 99.97, 100.00
282712, 466, 0, 100.947927, 96.180167, 96.125066, 96.125066, 95.28, 99.94, 100.00
282784, 33, 0, 3.110360, 3.035460, 3.035460, 3.035460, 97.59, 100.00, 100.00
282992, 569, 0, 116.534960, 112.106330, 112.076420, 112.076420, 96.20, 99.97, 100.00
283074, 284, 0, 61.783950, 58.879770, 58.849440, 58.849440, 95.30, 99.95, 100.00
283155, 144, 0, 31.721800, 30.244000, 30.233100, 30.233100, 95.34, 99.96, 100.00
283270, 65, 0, 15.270600, 13.898000, 13.890500, 13.890500, 91.01, 99.95, 100.00
283429, 1269, 0, 253.655700, 243.194810, 243.035570, 243.035570, 95.88, 99.93, 100.00
283608, 167, 0, 25.461297, 24.907354, 24.902064, 24.902064, 97.82, 99.98, 100.00
283780, 775, 0, 156.967780, 151.399723, 151.328383, 151.328383, 96.45, 99.95, 100.00
284006, 176, 0, 43.412710, 40.573750, 40.568290, 40.568290, 93.46, 99.99, 100.00
284154, 141, 0, 10.782600, 10.448700, 10.448400, 10.448400, 96.90, 100.00, 100.00
284213, 976, 0, 215.193928, 207.681290, 207.667756, 207.667756, 96.51, 99.99, 100.00
284285, 1185, 0, 273.643502, 255.869025, 255.840275, 255.840275, 93.50, 99.99, 100.00
284420, 237, 0, 63.182859, 58.787355, 58.781045, 58.781045, 93.04, 99.99, 100.00
284427, 137, 0, 37.649800, 36.143300, 36.139800, 36.139800, 96.00, 99.99, 100.00
284484, 478, 0, 113.658838, 107.126389, 107.120279, 107.120279, 94.25, 99.99, 100.00
Total, 23292, 0, 3475.040000, 3317.530000, 3316.680000, 3316.680000, 95.47, 99.97, 100.00
