Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
276262, 295, 0, 6.727643, 6.254209, 6.253800, 6.253800, 92.96, 99.99, 100.00
276329, 403, 0, 12.476186, 11.910045, 11.909006, 11.909006, 95.46, 99.99, 100.00
276336, 31, 0, 0.719092, 0.663090, 0.663047, 0.663047, 92.21, 99.99, 100.00
276416, 109, 0, 4.403370, 4.226970, 4.221030, 4.221030, 95.99, 99.86, 100.00
276511, 290, 0, 9.307698, 9.009898, 9.003851, 9.003851, 96.80, 99.93, 100.00
276689, 265, 0, 11.192468, 10.883611, 10.871979, 10.871979, 97.24, 99.89, 100.00
276778, 17, 0, 0.747056, 0.675490, 0.675452, 0.675452, 90.42, 99.99, 100.00
276790, 35, 0, 1.769720, 1.596180, 1.595770, 1.595770, 90.19, 99.97, 100.00
276952, 140, 0, 7.234170, 6.648620, 6.647790, 6.647790, 91.91, 99.99, 100.00
276954, 17, 0, 0.858822, 0.742651, 0.742574, 0.742574, 86.47, 99.99, 100.00
278880, 462, 0, 23.978070, 21.825280, 21.823200, 21.823200, 91.02, 99.99, 100.00
278912, 410, 0, 20.530894, 19.958466, 19.956595, 19.956595, 97.21, 99.99, 100.00
278968, 123, 0, 10.459120, 9.958732, 9.956749, 9.956749, 95.22, 99.98, 100.00
279169, 745, 0, 57.446470, 55.589497, 55.581667, 55.581667, 96.77, 99.99, 100.00
279259, 102, 0, 7.855450, 7.324610, 7.323130, 7.323130, 93.24, 99.98, 100.00
279279, 227, 0, 17.747492, 17.112354, 17.103949, 17.103949, 96.42, 99.95, 100.00
279284, 456, 0, 33.142400, 32.041100, 32.034200, 32.034200, 96.68, 99.98, 100.00
279345, 628, 0, 54.706417, 52.820788, 52.808190, 52.808190, 96.55, 99.98, 100.00
279515, 5, 0, 0.418627, 0.348682, 0.348306, 0.348306, 83.29, 99.89, 100.00
279598, 692, 0, 70.788039, 68.701310, 68.677998, 68.677998, 97.05, 99.97, 100.00
